Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
2e-06,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
2e-06,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.292951,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.292951,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.54082,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.54082,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.76469,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.76469,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.982558,TraderTwo,Tick,0,50,-50,0,147600,,-736,7355736,7355736,OK
0.982558,TraderOne,Tick,0,50,-50,0,147600,,-736,7355736,7355736,OK
1.209475,TraderTwo,Tick,0,50,-50,0,147000,147100,-736,7355736,5736,OK
1.209475,TraderOne,Tick,1,50,-49,0,147000,147100,-751,7208751,5751,OK
1.466616,TraderTwo,Tick,0,50,-50,0,147000,147100,-736,7355736,5736,OK
1.466616,TraderOne,Tick,1,50,-49,0,147000,147100,-751,7208751,5751,OK
1.743053,TraderTwo,Tick,0,50,-50,0,147000,147100,-736,7355736,5736,OK
1.743053,TraderOne,Tick,1,50,-49,0,147000,147100,-751,7208751,5751,OK
2.023335,TraderTwo,Tick,0,50,-50,0,147000,147100,-736,7355736,5736,OK
2.023335,TraderOne,Tick,1,50,-49,0,147000,147100,-751,7208751,5751,OK
2.23999,TraderTwo,Tick,0,50,-50,0,147000,146900,-736,7355736,5736,OK
2.23999,TraderOne,Tick,1,50,-49,0,147000,146900,-751,7208751,5751,OK
2.542361,TraderTwo,Tick,0,50,-50,0,146900,146900,-736,7355736,10736,OK
2.542361,TraderOne,Tick,72,50,22,0,146900,146900,-1794,-3220106,11694,OK
2.71895,TraderTwo,Tick,0,50,-50,0,146900,146900,-736,7355736,10736,OK
2.71895,TraderOne,Tick,72,50,22,0,146900,146900,-1794,-3220106,11694,OK
3.021897,TraderTwo,Tick,0,50,-50,0,146900,146900,-736,7355736,10736,OK
3.021897,TraderOne,Tick,72,50,22,0,146900,146900,-1794,-3220106,11694,OK
3.293891,TraderTwo,Tick,0,50,-50,0,146900,146900,-736,7355736,10736,OK
3.293891,TraderOne,Tick,72,50,22,0,146900,146900,-1794,-3220106,11694,OK
3.496843,TraderTwo,Tick,0,75,-75,0,147500,146900,-1104,11031104,-1396,OK
3.496843,TraderOne,Tick,72,111,-39,0,147500,146900,-2691,5747791,10891,OK
3.741525,TraderTwo,Tick,0,75,-75,0,146800,146900,-1104,11031104,21104,OK
3.741525,TraderOne,Tick,89,111,-22,0,146800,146900,-2941,3252441,22841,OK
4.049231,TraderTwo,Tick,0,75,-75,0,146800,146900,-1104,11031104,21104,OK
4.049231,TraderOne,Tick,89,111,-22,0,146800,146900,-2941,3252441,22841,OK
4.221571,TraderTwo,Tick,0,75,-75,0,146800,146900,-1104,11031104,21104,OK
4.221571,TraderOne,Tick,89,111,-22,0,146800,146900,-2941,3252441,22841,OK
4.488079,TraderTwo,Tick,0,75,-75,0,146800,146900,-1104,11031104,21104,OK
4.488079,TraderOne,Tick,89,111,-22,0,146800,146900,-2941,3252441,22841,OK
4.720961,TraderTwo,Tick,0,75,-75,0,146800,146900,-1104,11031104,21104,OK
4.720961,TraderOne,Tick,108,111,-3,0,146800,146900,-3220,463520,23120,OK
5.031268,TraderTwo,Tick,0,75,-75,0,146800,146900,-1104,11031104,21104,OK
5.031268,TraderOne,Tick,108,111,-3,0,146800,146900,-3220,463520,23120,OK
5.24938,TraderTwo,Tick,0,75,-75,0,146800,146800,-1104,11031104,21104,OK
5.24938,TraderOne,Tick,108,111,-3,0,146800,146800,-3220,463520,23120,OK
5.547001,TraderTwo,Tick,0,87,-87,0,146800,146800,-1280,12792880,21280,OK
5.547001,TraderOne,Tick,120,111,9,0,146800,146800,-2868,-1298432,22768,OK
5.758284,TraderTwo,Tick,0,99,-99,0,147000,146800,-1456,14557056,4056,OK
5.758284,TraderOne,Tick,132,111,21,0,147000,146800,-2515,-3062785,24215,OK
6.049373,TraderTwo,Tick,0,99,-99,0,147000,146800,-1456,14557056,4056,OK
6.049373,TraderOne,Tick,132,111,21,0,147000,146800,-2515,-3062785,24215,OK
6.291575,TraderTwo,Tick,0,99,-99,0,147000,146800,-1456,14557056,4056,OK
6.291575,TraderOne,Tick,132,171,-39,0,147000,146800,-751,5755451,22451,OK
6.450945,TraderTwo,Tick,0,99,-99,0,147000,146800,-1456,14557056,4056,OK
6.450945,TraderOne,Tick,132,171,-39,0,147000,146800,-751,5755451,22451,OK
6.789686,TraderTwo,Tick,0,99,-99,0,147200,146700,-1456,14557056,13956,OK
6.789686,TraderOne,Tick,132,201,-69,0,147200,146700,131,10164569,28469,OK
7.048141,TraderTwo,Tick,0,99,-99,0,147000,146900,-1456,14557056,4056,OK
7.048141,TraderOne,Tick,132,209,-77,0,147000,146900,366,11340334,21334,OK
7.275067,TraderTwo,Tick,0,99,-99,0,147000,146900,-1456,14557056,4056,OK
7.275067,TraderOne,Tick,132,209,-77,0,147000,146900,366,11340334,21334,OK
7.53059,TraderTwo,Tick,0,99,-99,0,147000,146900,-1456,14557056,4056,OK
7.53059,TraderOne,Tick,132,209,-77,0,147000,146900,366,11340334,21334,OK
7.76627,TraderTwo,Tick,0,99,-99,0,147000,146900,-1456,14557056,4056,OK
7.76627,TraderOne,Tick,132,209,-77,0,147000,146900,366,11340334,21334,OK
