Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
3e-06,stonk_7312,Tick,0,0,0,0,,,0,0,0,OK
3e-06,OptiverFanboys_117,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Finitist_4274,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Hannystars_17,Tick,0,0,0,0,,,0,0,0,OK
3e-06,youknowwho_3927,Tick,0,0,0,0,,,0,0,0,OK
3e-06,qubitqubitqubit_101,Tick,0,0,0,0,,,0,0,0,OK
3e-06,RuksakRandom_666013,Tick,0,0,0,0,,,0,0,0,OK
3e-06,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,,,0,0,0,OK
0.217224,stonk_7312,Tick,0,0,0,0,126400,,0,0,0,OK
0.217224,OptiverFanboys_117,Tick,0,0,0,0,126400,,0,0,0,OK
0.217224,Finitist_4274,Tick,0,0,0,0,126400,,0,0,0,OK
0.217224,Hannystars_17,Tick,0,0,0,0,126400,,0,0,0,OK
0.217224,youknowwho_3927,Tick,0,0,0,0,126400,,0,0,0,OK
0.217224,qubitqubitqubit_101,Tick,0,0,0,0,126400,,0,0,0,OK
0.217224,RuksakRandom_666013,Tick,0,1,-1,0,126400,,-13,126413,126413,OK
0.217224,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126400,,0,0,0,OK
0.466116,stonk_7312,Tick,0,0,0,0,126600,,0,0,0,OK
0.466116,OptiverFanboys_117,Tick,0,0,0,0,126600,,0,0,0,OK
0.466116,Finitist_4274,Tick,0,45,-45,0,126600,,-570,5697570,5697570,OK
0.466116,Hannystars_17,Tick,0,20,-20,20,126600,,-253,2253,2253,OK
0.466116,youknowwho_3927,Tick,0,0,0,0,126600,,0,0,0,OK
0.466116,qubitqubitqubit_101,Tick,0,46,-46,46,126600,,-582,1594,1594,OK
0.466116,RuksakRandom_666013,Tick,0,26,-26,0,126600,,-329,3291729,3291729,OK
0.466116,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126600,,0,0,0,OK
0.738382,stonk_7312,Tick,0,0,0,0,126322,,0,0,0,OK
0.738382,OptiverFanboys_117,Tick,0,0,0,0,126322,,0,0,0,OK
0.738382,Finitist_4274,Tick,0,45,-45,0,126322,,-570,5697570,5697570,OK
0.738382,Hannystars_17,Tick,0,20,-20,20,126322,,-253,2253,2253,OK
0.738382,youknowwho_3927,Tick,0,0,0,0,126322,,0,0,0,OK
0.738382,qubitqubitqubit_101,Tick,2,46,-44,44,126322,,-607,1575,1575,OK
0.738382,RuksakRandom_666013,Tick,25,26,-1,0,126322,,-645,132045,132045,OK
0.738382,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126322,,0,0,0,OK
0.96128,stonk_7312,Tick,0,0,0,0,126322,,0,0,0,OK
0.96128,OptiverFanboys_117,Tick,0,0,0,0,126322,,0,0,0,OK
0.96128,Finitist_4274,Tick,0,45,-45,0,126322,,-570,5697570,5697570,OK
0.96128,Hannystars_17,Tick,0,20,-20,20,126322,,-253,2253,2253,OK
0.96128,youknowwho_3927,Tick,0,0,0,0,126322,,0,0,0,OK
0.96128,qubitqubitqubit_101,Tick,2,46,-44,44,126322,,-607,1575,1575,OK
0.96128,RuksakRandom_666013,Tick,25,26,-1,0,126322,,-645,132045,132045,OK
0.96128,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126322,,0,0,0,OK
1.22727,stonk_7312,Tick,0,0,0,0,126322,126700,0,0,0,OK
1.22727,OptiverFanboys_117,Tick,0,0,0,0,126322,126700,0,0,0,OK
1.22727,Finitist_4274,Tick,0,45,-45,0,126322,126700,-570,5697570,7455,OK
1.22727,Hannystars_17,Tick,0,20,-20,20,126322,126700,-253,2253,7313,OK
1.22727,youknowwho_3927,Tick,0,0,0,0,126322,126700,0,0,0,OK
1.22727,qubitqubitqubit_101,Tick,2,46,-44,44,126322,126700,-607,1575,12707,OK
1.22727,RuksakRandom_666013,Tick,25,26,-1,0,126322,126700,-645,132045,5598,OK
1.22727,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126322,126700,0,0,0,OK
1.474967,stonk_7312,Tick,0,0,0,0,126322,126800,0,0,0,OK
1.474967,OptiverFanboys_117,Tick,0,0,0,0,126322,126800,0,0,0,OK
1.474967,Finitist_4274,Tick,0,45,-45,0,126322,126800,-570,5697570,3000,OK
1.474967,Hannystars_17,Tick,0,20,-20,20,126322,126800,-253,2253,7333,OK
1.474967,youknowwho_3927,Tick,0,0,0,0,126322,126800,0,0,0,OK
1.474967,qubitqubitqubit_101,Tick,2,46,-44,44,126322,126800,-607,1575,12751,OK
1.474967,RuksakRandom_666013,Tick,25,26,-1,0,126322,126800,-645,132045,5499,OK
1.474967,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126322,126800,0,0,0,OK
1.709954,stonk_7312,Tick,0,0,0,0,126900,126800,0,0,0,OK
1.709954,OptiverFanboys_117,Tick,0,0,0,0,126900,126800,0,0,0,OK
1.709954,Finitist_4274,Tick,59,45,14,0,126900,126800,927,-1788987,-12387,OK
1.709954,Hannystars_17,Tick,0,30,-30,30,126900,126800,-380,-620,-3620,OK
1.709954,youknowwho_3927,Tick,0,0,0,0,126900,126800,0,0,0,OK
1.709954,qubitqubitqubit_101,Tick,2,70,-68,68,126900,126800,-911,-7361,-14161,OK
1.709954,RuksakRandom_666013,Tick,25,51,-26,0,126900,126800,-962,3304862,5462,OK
1.709954,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.002222,stonk_7312,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.002222,OptiverFanboys_117,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.002222,Finitist_4274,Tick,59,45,14,0,126900,126800,927,-1788987,-12387,OK
2.002222,Hannystars_17,Tick,0,30,-30,30,126900,126800,-380,-620,-3620,OK
2.002222,youknowwho_3927,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.002222,qubitqubitqubit_101,Tick,2,70,-68,68,126900,126800,-911,-7361,-14161,OK
2.002222,RuksakRandom_666013,Tick,25,51,-26,0,126900,126800,-962,3304862,5462,OK
2.002222,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.263508,stonk_7312,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.263508,OptiverFanboys_117,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.263508,Finitist_4274,Tick,59,45,14,0,126900,126800,927,-1788987,-12387,OK
2.263508,Hannystars_17,Tick,0,30,-30,30,126900,126800,-380,-620,-3620,OK
2.263508,youknowwho_3927,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.263508,qubitqubitqubit_101,Tick,2,70,-68,68,126900,126800,-911,-7361,-14161,OK
2.263508,RuksakRandom_666013,Tick,25,51,-26,0,126900,126800,-962,3304862,5462,OK
2.263508,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.47757,stonk_7312,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.47757,OptiverFanboys_117,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.47757,Finitist_4274,Tick,59,45,14,0,126900,126800,927,-1788987,-12387,OK
2.47757,Hannystars_17,Tick,0,30,-30,30,126900,126800,-380,-620,-3620,OK
2.47757,youknowwho_3927,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.47757,qubitqubitqubit_101,Tick,2,70,-68,68,126900,126800,-911,-7361,-14161,OK
2.47757,RuksakRandom_666013,Tick,25,51,-26,0,126900,126800,-962,3304862,5462,OK
2.47757,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.782218,stonk_7312,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.782218,OptiverFanboys_117,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.782218,Finitist_4274,Tick,59,45,14,0,126900,126800,927,-1788987,-12387,OK
2.782218,Hannystars_17,Tick,0,30,-30,30,126900,126800,-380,-620,-3620,OK
2.782218,youknowwho_3927,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.782218,qubitqubitqubit_101,Tick,2,70,-68,68,126900,126800,-911,-7361,-14161,OK
2.782218,RuksakRandom_666013,Tick,25,51,-26,0,126900,126800,-962,3304862,5462,OK
2.782218,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126900,126800,0,0,0,OK
3.00103,stonk_7312,Tick,0,0,0,0,126900,127300,0,0,0,OK
3.00103,OptiverFanboys_117,Tick,0,0,0,0,126900,127300,0,0,0,OK
3.00103,Finitist_4274,Tick,59,45,14,0,126900,127300,927,-1788987,-10357,OK
3.00103,Hannystars_17,Tick,0,30,-30,30,126900,127300,-380,-620,7030,OK
3.00103,youknowwho_3927,Tick,0,0,0,0,126900,127300,0,0,0,OK
3.00103,qubitqubitqubit_101,Tick,2,70,-68,68,126900,127300,-911,-7361,9979,OK
3.00103,RuksakRandom_666013,Tick,25,51,-26,0,126900,127300,-962,3304862,1692,OK
3.00103,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,126900,127300,0,0,0,OK
3.282723,stonk_7312,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.282723,OptiverFanboys_117,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.282723,Finitist_4274,Tick,59,45,14,0,127400,127200,927,-1788987,-5387,OK
3.282723,Hannystars_17,Tick,0,30,-30,30,127400,127200,-380,-620,-6620,OK
3.282723,youknowwho_3927,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.282723,qubitqubitqubit_101,Tick,2,82,-80,80,127400,127200,-605,-7667,-23667,OK
3.282723,RuksakRandom_666013,Tick,25,51,-26,0,127400,127200,-962,3304862,-7538,OK
3.282723,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.520521,stonk_7312,Tick,0,0,0,0,127500,127200,0,0,0,OK
3.520521,OptiverFanboys_117,Tick,0,0,0,0,127500,127200,0,0,0,OK
3.520521,Finitist_4274,Tick,59,46,13,0,127500,127200,914,-1661474,-4572,OK
3.520521,Hannystars_17,Tick,0,30,-30,30,127500,127200,-380,-620,-8240,OK
3.520521,youknowwho_3927,Tick,0,0,0,0,127500,127200,0,0,0,OK
3.520521,qubitqubitqubit_101,Tick,2,88,-86,86,127500,127200,-681,-7837,-29681,OK
3.520521,RuksakRandom_666013,Tick,25,51,-26,0,127500,127200,-962,3304862,-8942,OK
3.520521,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,127500,127200,0,0,0,OK
3.79763,stonk_7312,Tick,0,0,0,0,127500,127400,0,0,0,OK
3.79763,OptiverFanboys_117,Tick,0,0,0,0,127500,127400,0,0,0,OK
3.79763,Finitist_4274,Tick,59,46,13,0,127500,127400,914,-1661474,-3974,OK
3.79763,Hannystars_17,Tick,0,30,-30,30,127500,127400,-380,-620,-3620,OK
3.79763,youknowwho_3927,Tick,0,0,0,0,127500,127400,0,0,0,OK
3.79763,qubitqubitqubit_101,Tick,2,88,-86,86,127500,127400,-681,-7837,-16437,OK
3.79763,RuksakRandom_666013,Tick,25,51,-26,0,127500,127400,-962,3304862,-10138,OK
3.79763,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,127500,127400,0,0,0,OK
3.957891,stonk_7312,Tick,0,0,0,0,127500,127400,0,0,0,OK
3.957891,OptiverFanboys_117,Tick,0,0,0,0,127500,127400,0,0,0,OK
3.957891,Finitist_4274,Tick,59,46,13,0,127500,127400,914,-1661474,-3974,OK
3.957891,Hannystars_17,Tick,0,30,-30,30,127500,127400,-380,-620,-3620,OK
3.957891,youknowwho_3927,Tick,0,0,0,0,127500,127400,0,0,0,OK
3.957891,qubitqubitqubit_101,Tick,2,88,-86,86,127500,127400,-681,-7837,-16437,OK
3.957891,RuksakRandom_666013,Tick,25,51,-26,0,127500,127400,-962,3304862,-10138,OK
3.957891,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,127500,127400,0,0,0,OK
4.29553,stonk_7312,Tick,0,0,0,0,127500,127600,0,0,0,OK
4.29553,OptiverFanboys_117,Tick,0,0,0,0,127500,127600,0,0,0,OK
4.29553,Finitist_4274,Tick,59,46,13,0,127500,127600,914,-1661474,-3974,OK
4.29553,Hannystars_17,Tick,0,30,-30,30,127500,127600,-380,-620,2380,OK
4.29553,youknowwho_3927,Tick,0,0,0,0,127500,127600,0,0,0,OK
4.29553,qubitqubitqubit_101,Tick,2,88,-86,86,127500,127600,-681,-7837,763,OK
4.29553,RuksakRandom_666013,Tick,25,51,-26,0,127500,127600,-962,3304862,-10138,OK
4.29553,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,127500,127600,0,0,0,OK
4.543124,stonk_7312,Tick,0,0,0,0,127500,127700,0,0,0,OK
4.543124,OptiverFanboys_117,Tick,0,0,0,0,127500,127700,0,0,0,OK
4.543124,Finitist_4274,Tick,59,46,13,0,127500,127700,914,-1661474,-3974,OK
4.543124,Hannystars_17,Tick,0,30,-30,30,127500,127700,-380,-620,5380,OK
4.543124,youknowwho_3927,Tick,0,0,0,0,127500,127700,0,0,0,OK
4.543124,qubitqubitqubit_101,Tick,2,88,-86,86,127500,127700,-681,-7837,9363,OK
4.543124,RuksakRandom_666013,Tick,25,51,-26,0,127500,127700,-962,3304862,-10138,OK
4.543124,RayaLucariaTradingAcademy_4,Tick,0,0,0,0,127500,127700,0,0,0,OK
4.774514,stonk_7312,Tick,0,0,0,0,127500,127700,0,0,0,OK
4.774514,OptiverFanboys_117,Tick,0,0,0,0,127500,127700,0,0,0,OK
4.774514,Finitist_4274,Tick,59,46,13,0,127500,127700,914,-1661474,-3974,OK
4.774514,Hannystars_17,Tick,0,30,-30,30,127500,127700,-380,-620,5380,OK
4.774514,youknowwho_3927,Tick,0,0,0,0,127500,127700,0,0,0,OK
