Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
5e-06,MaizeandBlue_6626,Tick,0,0,0,0,,,0,0,0,OK
5e-06,A_123084,Tick,0,0,0,0,,,0,0,0,OK
5e-06,AlphaMakers_100101,Tick,0,0,0,0,,,0,0,0,OK
5e-06,FrankfurtHedgehogs_347788,Tick,0,0,0,0,,,0,0,0,OK
5e-06,Hannystars_17,Tick,0,0,0,0,,,0,0,0,OK
5e-06,Fish_32,Tick,0,0,0,0,,,0,0,0,OK
5e-06,beachmarket_979578,Tick,0,0,0,0,,,0,0,0,OK
5e-06,ZhangXiongxiong_200411,Tick,0,0,0,0,,,0,0,0,OK
0.257662,MaizeandBlue_6626,Tick,0,0,0,0,,,0,0,0,OK
0.257662,A_123084,Tick,0,0,0,0,,,0,0,0,OK
0.257662,AlphaMakers_100101,Tick,0,0,0,0,,,0,0,0,OK
0.257662,FrankfurtHedgehogs_347788,Tick,0,0,0,0,,,0,0,0,OK
0.257662,Hannystars_17,Tick,0,0,0,0,,,0,0,0,OK
0.257662,Fish_32,Tick,0,0,0,0,,,0,0,0,OK
0.257662,beachmarket_979578,Tick,0,0,0,0,,,0,0,0,OK
0.257662,ZhangXiongxiong_200411,Tick,0,0,0,0,,,0,0,0,OK
0.541488,MaizeandBlue_6626,Tick,0,0,0,0,,,0,0,0,OK
0.541488,A_123084,Tick,0,0,0,0,,,0,0,0,OK
0.541488,AlphaMakers_100101,Tick,0,0,0,0,,,0,0,0,OK
0.541488,FrankfurtHedgehogs_347788,Tick,0,0,0,0,,,0,0,0,OK
0.541488,Hannystars_17,Tick,0,0,0,0,,,0,0,0,OK
0.541488,Fish_32,Tick,0,0,0,0,,,0,0,0,OK
0.541488,beachmarket_979578,Tick,0,0,0,0,,,0,0,0,OK
0.541488,ZhangXiongxiong_200411,Tick,0,0,0,0,,,0,0,0,OK
0.758367,MaizeandBlue_6626,Tick,0,0,0,0,,,0,0,0,OK
0.758367,A_123084,Tick,0,0,0,0,,,0,0,0,OK
0.758367,AlphaMakers_100101,Tick,0,0,0,0,,,0,0,0,OK
0.758367,FrankfurtHedgehogs_347788,Tick,0,0,0,0,,,0,0,0,OK
0.758367,Hannystars_17,Tick,0,0,0,0,,,0,0,0,OK
0.758367,Fish_32,Tick,0,0,0,0,,,0,0,0,OK
0.758367,beachmarket_979578,Tick,0,0,0,0,,,0,0,0,OK
0.758367,ZhangXiongxiong_200411,Tick,0,0,0,0,,,0,0,0,OK
0.967404,MaizeandBlue_6626,Tick,0,0,0,0,,,0,0,0,OK
0.967404,A_123084,Tick,0,0,0,0,,,0,0,0,OK
0.967404,AlphaMakers_100101,Tick,0,0,0,0,,,0,0,0,OK
0.967404,FrankfurtHedgehogs_347788,Tick,0,0,0,0,,,0,0,0,OK
0.967404,Hannystars_17,Tick,0,0,0,0,,,0,0,0,OK
0.967404,Fish_32,Tick,0,0,0,0,,,0,0,0,OK
0.967404,beachmarket_979578,Tick,0,0,0,0,,,0,0,0,OK
0.967404,ZhangXiongxiong_200411,Tick,0,0,0,0,,,0,0,0,OK
1.258359,MaizeandBlue_6626,Tick,0,0,0,0,,140400,0,0,0,OK
1.258359,A_123084,Tick,0,0,0,0,,140400,0,0,0,OK
1.258359,AlphaMakers_100101,Tick,0,0,0,0,,140400,0,0,0,OK
1.258359,FrankfurtHedgehogs_347788,Tick,0,0,0,0,,140400,0,0,0,OK
1.258359,Hannystars_17,Tick,0,0,0,0,,140400,0,0,0,OK
1.258359,Fish_32,Tick,0,0,0,0,,140400,0,0,0,OK
1.258359,beachmarket_979578,Tick,0,0,0,0,,140400,0,0,0,OK
1.258359,ZhangXiongxiong_200411,Tick,0,0,0,0,,140400,0,0,0,OK
1.528927,MaizeandBlue_6626,Tick,0,0,0,0,,140400,0,0,0,OK
1.528927,A_123084,Tick,0,0,0,0,,140400,0,0,0,OK
1.528927,AlphaMakers_100101,Tick,0,0,0,0,,140400,0,0,0,OK
1.528927,FrankfurtHedgehogs_347788,Tick,0,0,0,0,,140400,0,0,0,OK
1.528927,Hannystars_17,Tick,0,0,0,0,,140400,0,0,0,OK
1.528927,Fish_32,Tick,0,0,0,0,,140400,0,0,0,OK
1.528927,beachmarket_979578,Tick,0,0,0,0,,140400,0,0,0,OK
1.528927,ZhangXiongxiong_200411,Tick,0,0,0,0,,140400,0,0,0,OK
1.767844,MaizeandBlue_6626,Tick,0,0,0,0,,140400,0,0,0,OK
1.767844,A_123084,Tick,0,0,0,0,,140400,0,0,0,OK
1.767844,AlphaMakers_100101,Tick,0,0,0,0,,140400,0,0,0,OK
1.767844,FrankfurtHedgehogs_347788,Tick,0,0,0,0,,140400,0,0,0,OK
1.767844,Hannystars_17,Tick,0,0,0,0,,140400,0,0,0,OK
1.767844,Fish_32,Tick,0,0,0,0,,140400,0,0,0,OK
